,Season,Pos,Team,Pts,clearances_avg,corners_avg,fouls_conceded_avg,offsides_avg,passes_avg,possession_avg,red_cards_avg,shots_avg,shots_on_target_avg,tackles_avg,touches_avg,yellow_cards_avg,goals_scored_ft_avg,goals_conced_ft_avg,sg_match_ft_acum,goals_scored_ht_avg,goals_conced_ht_avg,sg_match_ht_acum,performance_acum
195,19/20,16,West Ham United,39,19.6,5.1,10.0,1.8,395.2,43.5,0.1,11.0,4.4,18.4,586.6,1.6,1.3,1.65,-13.0,0.68,0.59,3.0,34.2
1,10/11,2,Chelsea,71,20.0,6.8,11.5,2.9,505.4,58.2,0.0,19.6,6.5,20.3,721.9,1.5,1.86,0.86,37.0,0.84,0.51,12.0,64.0
2,10/11,3,Manchester City,71,31.2,5.9,12.8,2.8,467.5,52.9,0.1,14.3,4.6,21.7,680.6,1.9,1.57,0.89,25.0,0.86,0.38,18.0,61.3
3,10/11,4,Arsenal,68,28.3,6.7,12.1,2.5,528.3,59.8,0.2,17.3,6.3,20.5,752.1,1.7,1.89,1.11,29.0,0.89,0.46,16.0,60.4
5,10/11,6,Liverpool,58,28.7,5.6,12.1,2.2,439.7,52.2,0.1,15.4,5.5,24.0,656.8,1.6,1.59,1.16,16.0,0.7,0.38,12.0,52.3
9,10/11,10,Sunderland,47,34.1,4.7,11.7,2.6,371.4,48.1,0.1,13.8,3.8,21.3,593.6,1.5,1.14,1.51,-14.0,0.54,0.54,0.0,39.6
10,10/11,11,West Bromwich Albion,47,28.8,4.9,11.4,2.6,375.9,48.2,0.2,15.7,4.8,19.3,586.4,1.4,1.43,1.84,-15.0,0.51,0.92,-15.0,41.4
14,10/11,15,Blackburn Rovers,43,39.4,4.6,13.2,2.3,294.9,41.4,0.1,11.8,3.4,20.0,511.7,1.7,1.16,1.54,-14.0,0.54,0.43,4.0,36.0
15,10/11,16,Wigan Athletic,42,31.2,4.5,13.1,1.8,400.5,50.2,0.1,13.4,4.5,23.9,619.6,1.7,1.05,1.65,-22.0,0.41,0.68,-10.0,35.1
17,10/11,18,Birmingham City,39,33.6,3.9,11.3,2.4,371.6,48.1,0.1,10.6,3.2,17.1,572.0,1.4,0.97,1.51,-20.0,0.41,0.62,-8.0,35.1
18,10/11,19,Blackpool,39,43.0,4.7,11.7,2.6,398.0,49.9,0.1,13.9,4.2,20.6,622.5,1.2,1.43,2.0,-21.0,0.73,0.92,-7.0,35.1
21,11/12,2,Manchester United,89,30.8,7.3,10.2,2.4,528.8,57.6,0.0,16.9,6.4,21.1,737.9,1.3,2.38,0.89,55.0,1.05,0.22,31.0,77.5
22,11/12,3,Arsenal,70,20.1,6.9,10.7,2.3,544.5,60.2,0.1,16.9,6.3,19.5,748.5,1.7,1.92,1.27,24.0,0.86,0.65,8.0,60.4
24,11/12,5,Newcastle United,65,26.2,4.5,10.6,2.6,383.7,47.1,0.1,12.9,4.1,19.6,583.8,1.8,1.49,1.3,7.0,0.76,0.59,6.0,58.6
27,11/12,8,Liverpool,52,19.1,8.2,10.7,3.5,498.4,56.0,0.1,17.7,5.5,19.1,700.5,1.4,1.27,1.05,8.0,0.59,0.41,7.0,46.8
28,11/12,9,Fulham,52,26.8,5.0,9.9,2.2,463.8,49.4,0.0,14.3,5.1,17.6,654.7,1.4,1.3,1.32,-1.0,0.54,0.59,-2.0,46.8
35,11/12,16,Aston Villa,38,34.7,5.7,10.9,2.2,346.4,44.0,0.1,11.6,3.6,20.6,553.8,1.8,1.0,1.38,-14.0,0.46,0.62,-6.0,34.2
36,11/12,17,Queens Park Rangers,37,36.6,5.3,10.9,2.2,357.3,45.8,0.2,14.5,4.0,20.1,565.7,1.4,1.11,1.7,-22.0,0.51,0.84,-12.0,33.3
37,11/12,18,Bolton Wanderers,36,32.7,5.4,12.4,1.4,359.7,46.5,0.1,12.8,4.3,19.2,572.3,1.3,1.19,2.03,-31.0,0.49,0.76,-10.0,31.5
38,11/12,19,Blackburn Rovers,31,34.8,4.4,12.3,1.5,324.9,41.8,0.1,12.0,3.8,18.1,525.8,1.8,1.27,2.05,-29.0,0.57,0.89,-12.0,27.9
39,11/12,20,Wolverhampton Wanderers,25,31.1,5.5,9.9,2.2,390.0,48.2,0.1,12.5,4.0,16.2,593.5,1.7,1.03,2.14,-41.0,0.43,1.11,-25.0,22.5
40,12/13,1,Manchester United,89,35.1,5.8,10.0,2.5,516.1,56.0,0.0,14.8,5.6,19.4,715.8,1.5,2.19,1.03,43.0,1.14,0.43,26.0,79.3
43,12/13,4,Arsenal,73,23.1,6.9,10.1,2.1,558.2,58.4,0.1,15.9,5.5,19.4,762.6,1.1,1.92,1.0,34.0,0.76,0.59,6.0,63.1
45,12/13,6,Everton,63,30.9,6.8,11.8,2.7,413.6,52.8,0.1,16.6,5.4,18.9,624.9,1.6,1.46,1.03,16.0,0.84,0.51,12.0,56.8
50,12/13,11,Norwich City,44,30.3,4.5,11.5,2.6,354.4,43.3,0.0,10.7,3.4,17.9,545.4,1.6,1.03,1.51,-18.0,0.46,0.68,-8.0,36.9
51,12/13,12,Fulham,43,33.2,4.8,10.9,2.0,447.9,49.3,0.1,12.2,4.2,17.9,653.3,1.3,1.27,1.62,-13.0,0.59,0.65,-2.0,36.0
52,12/13,13,Stoke City,42,30.4,4.4,12.9,1.9,324.4,43.4,0.1,10.3,3.0,19.2,523.1,2.1,0.89,1.19,-11.0,0.41,0.49,-3.0,36.9
54,12/13,15,Aston Villa,41,40.7,4.7,11.9,2.5,373.5,45.6,0.1,11.6,3.7,19.6,586.3,1.9,1.22,1.81,-22.0,0.57,0.62,-2.0,36.0
56,12/13,17,Sunderland,39,30.1,4.8,12.0,1.8,348.3,43.4,0.1,11.1,3.7,20.5,549.6,1.6,1.11,1.43,-12.0,0.59,0.68,-3.0,35.1
58,12/13,19,Reading,28,34.4,5.0,10.4,2.2,309.1,40.4,0.0,10.2,3.3,15.9,515.2,1.2,1.11,1.86,-28.0,0.41,0.76,-13.0,25.2
59,12/13,20,Queens Park Rangers,25,35.7,4.6,10.9,2.9,360.0,45.2,0.1,13.2,3.9,21.5,578.6,1.5,0.81,1.59,-29.0,0.32,0.84,-19.0,22.5
62,13/14,3,Chelsea,82,30.4,6.5,11.2,2.8,478.3,55.0,0.1,17.9,6.0,19.2,695.7,1.5,1.86,0.7,43.0,0.81,0.27,20.0,71.2
63,13/14,4,Arsenal,79,32.0,5.6,9.3,2.0,564.4,56.7,0.1,13.8,5.5,18.8,782.9,1.4,1.78,1.11,25.0,0.68,0.54,5.0,68.5
64,13/14,5,Everton,72,29.3,6.7,9.7,2.1,477.8,55.6,0.0,14.9,5.2,19.8,704.5,1.5,1.59,1.05,20.0,0.51,0.46,2.0,62.2
66,13/14,7,Manchester United,64,36.4,5.8,10.7,2.5,500.7,55.7,0.1,14.0,4.9,17.8,724.3,1.7,1.7,1.14,21.0,0.73,0.57,6.0,56.8
68,13/14,9,Stoke City,50,28.6,4.3,12.9,2.1,400.8,47.2,0.1,11.2,3.6,20.9,611.5,1.9,1.16,1.38,-8.0,0.59,0.54,2.0,42.3
69,13/14,10,Newcastle United,49,29.3,5.1,10.8,2.1,425.8,49.8,0.1,15.4,4.9,19.4,647.8,1.4,1.14,1.54,-15.0,0.54,0.65,-4.0,44.1
70,13/14,11,Crystal Palace,45,37.2,4.5,10.7,1.9,312.1,37.5,0.1,10.8,3.7,22.3,536.4,1.5,0.84,1.24,-15.0,0.32,0.51,-7.0,39.6
71,13/14,12,Swansea City,42,28.4,6.0,9.8,2.1,561.3,57.6,0.1,13.2,4.2,17.6,773.2,1.4,1.38,1.43,-2.0,0.49,0.65,-6.0,35.1
72,13/14,13,West Ham United,40,36.9,5.0,10.8,2.0,327.2,42.9,0.1,11.3,3.3,17.3,542.7,1.6,1.08,1.32,-9.0,0.49,0.54,-2.0,36.0
74,13/14,15,Aston Villa,38,28.3,4.4,13.0,2.3,362.0,43.7,0.0,11.5,3.6,19.7,562.5,2.1,1.05,1.57,-19.0,0.59,0.76,-6.0,34.2
83,14/15,4,Manchester United,70,29.2,5.8,11.8,2.4,561.8,61.2,0.1,13.6,4.8,19.5,766.1,1.7,1.68,1.0,25.0,0.89,0.41,18.0,62.2
84,14/15,5,Tottenham Hotspur,64,27.7,5.9,11.7,2.0,505.4,56.9,0.1,13.8,4.5,21.6,720.8,2.1,1.54,1.43,4.0,0.7,0.73,-1.0,55.0
85,14/15,6,Liverpool,62,31.3,5.1,10.3,2.0,509.7,55.8,0.1,15.6,5.1,21.0,720.5,1.7,1.38,1.14,9.0,0.57,0.51,2.0,55.9
86,14/15,7,Southampton,60,23.2,5.5,12.5,2.3,480.8,53.3,0.1,13.4,4.5,21.4,681.4,1.5,1.46,0.84,23.0,0.65,0.43,8.0,54.1
87,14/15,8,Swansea City,56,31.6,4.0,10.4,2.2,472.6,50.0,0.1,11.4,3.9,16.5,676.5,1.3,1.24,1.3,-2.0,0.51,0.59,-3.0,50.5
91,14/15,12,West Ham United,47,39.0,6.4,11.1,2.4,353.6,45.2,0.1,13.1,4.1,17.0,570.4,1.7,1.19,1.22,-1.0,0.51,0.57,-2.0,42.3
92,14/15,13,West Bromwich Albion,44,28.9,4.5,11.2,1.7,380.7,43.9,0.1,10.8,3.4,18.3,575.5,1.7,1.0,1.27,-10.0,0.43,0.78,-13.0,39.6
95,14/15,16,Sunderland,38,26.2,4.9,11.7,1.8,381.3,45.3,0.1,10.6,3.3,20.1,581.8,2.5,0.81,1.35,-20.0,0.43,0.65,-8.0,34.2
98,14/15,19,Burnley,33,38.5,4.6,10.9,1.7,359.8,42.5,0.1,11.5,3.3,16.2,571.3,1.7,0.73,1.43,-26.0,0.41,0.84,-16.0,27.0
99,14/15,20,Queens Park Rangers,30,38.4,4.7,11.9,2.2,357.8,44.8,0.1,13.9,4.0,20.6,575.1,2.0,1.11,1.84,-27.0,0.46,0.86,-15.0,27.0
100,15/16,1,Leicester City,81,27.7,5.2,10.6,1.4,349.4,42.5,0.1,13.6,4.7,22.8,568.7,1.3,1.81,0.95,32.0,0.76,0.35,15.0,72.1
102,15/16,3,Tottenham Hotspur,70,28.0,6.6,12.1,1.9,489.1,57.2,0.0,17.3,6.7,21.2,710.1,1.9,1.84,0.81,38.0,0.84,0.38,17.0,63.1
103,15/16,4,Manchester City,66,25.0,6.8,10.5,1.6,540.3,57.1,0.0,16.1,5.5,19.2,749.3,1.6,1.89,1.08,30.0,0.84,0.59,9.0,58.6
106,15/16,7,West Ham United,62,26.6,5.8,10.0,2.2,395.4,48.3,0.1,14.5,4.8,18.9,608.2,1.5,1.73,1.32,15.0,0.73,0.73,0.0,55.9
107,15/16,8,Liverpool,60,22.6,7.1,11.0,2.5,517.5,56.9,0.1,16.8,5.5,22.9,732.2,1.6,1.69,1.36,12.0,0.72,0.5,8.0,51.9
114,15/16,15,Crystal Palace,42,25.5,5.8,12.3,2.2,361.7,45.6,0.1,12.2,4.0,17.2,575.1,1.6,1.03,1.27,-9.0,0.35,0.54,-7.0,37.8
115,15/16,16,AFC Bournemouth,42,25.5,5.9,9.3,1.8,459.5,51.9,0.0,12.3,3.9,18.6,671.4,1.4,1.22,1.75,-19.0,0.58,1.0,-15.0,38.9
116,15/16,17,Sunderland,39,33.5,4.0,10.6,2.3,336.6,40.8,0.1,11.7,3.7,20.2,534.9,1.7,1.24,1.62,-14.0,0.46,0.81,-13.0,34.2
118,15/16,19,Norwich City,34,32.0,4.8,11.0,2.5,379.4,45.7,0.1,11.0,3.4,16.1,575.3,1.6,1.05,1.73,-25.0,0.43,0.59,-6.0,30.6
119,15/16,20,Aston Villa,17,25.6,4.4,11.5,1.1,402.5,46.5,0.1,10.1,2.9,19.4,612.0,2.0,0.73,1.95,-45.0,0.22,0.81,-22.0,15.3
121,16/17,2,Tottenham Hotspur,86,26.7,7.3,11.5,2.0,528.4,60.3,0.0,17.6,6.6,17.5,739.1,1.7,2.14,0.68,54.0,0.89,0.3,22.0,74.8
122,16/17,3,Manchester City,78,24.1,7.4,10.4,2.4,596.9,64.8,0.1,16.7,5.6,16.9,799.3,1.9,2.03,1.05,36.0,0.86,0.46,15.0,67.6
126,16/17,7,Everton,61,29.7,5.1,12.0,2.2,463.7,52.1,0.1,13.0,5.0,19.0,667.7,1.8,1.65,1.11,20.0,0.62,0.54,3.0,55.0
128,16/17,9,AFC Bournemouth,46,28.8,5.2,9.7,1.4,451.5,51.4,0.1,11.9,4.2,15.8,652.8,1.4,1.46,1.78,-12.0,0.7,0.78,-3.0,40.5
129,16/17,10,West Bromwich Albion,45,26.4,4.2,11.9,1.6,311.1,37.3,0.0,10.4,3.2,15.9,501.1,2.1,1.14,1.32,-7.0,0.54,0.57,-1.0,40.5
130,16/17,11,West Ham United,45,28.4,4.5,10.6,1.9,395.6,46.9,0.1,13.1,3.6,15.2,594.8,2.1,1.22,1.7,-18.0,0.49,0.7,-8.0,37.8
132,16/17,13,Stoke City,44,26.5,4.8,11.5,2.2,384.8,46.4,0.1,11.1,3.6,17.6,583.2,1.8,1.08,1.51,-16.0,0.62,0.62,0.0,36.9
133,16/17,14,Crystal Palace,41,27.5,5.3,12.4,1.5,356.3,45.4,0.0,11.7,3.7,18.5,567.5,2.1,1.35,1.65,-11.0,0.46,0.76,-11.0,36.9
138,16/17,19,Middlesbrough,28,28.6,3.7,12.8,1.4,418.3,47.8,0.0,9.2,2.6,19.2,611.7,2.1,0.73,1.35,-23.0,0.41,0.7,-11.0,25.2
139,16/17,20,Sunderland,24,30.7,4.3,11.4,2.1,326.8,39.9,0.1,10.3,3.1,16.6,518.9,2.1,0.76,1.73,-36.0,0.27,0.7,-16.0,21.6
140,17/18,1,Manchester City,100,15.3,7.4,9.0,1.8,747.5,71.8,0.1,17.6,7.1,14.9,928.3,1.5,2.84,0.73,78.0,1.22,0.32,33.0,87.4
144,17/18,5,Chelsea,70,19.8,6.2,9.5,2.9,559.3,55.6,0.1,16.2,5.9,16.7,755.8,1.1,1.68,0.95,27.0,0.81,0.32,18.0,63.1
145,17/18,6,Arsenal,63,21.4,6.0,10.2,2.4,621.8,62.0,0.1,15.8,6.2,16.5,808.6,1.5,1.97,1.38,22.0,0.78,0.57,8.0,54.1
147,17/18,8,Everton,49,32.6,3.9,12.1,2.2,388.8,45.5,0.1,9.3,3.1,17.1,588.4,1.4,1.16,1.49,-12.0,0.41,0.65,-9.0,44.1
148,17/18,9,Leicester City,47,24.4,5.4,9.5,2.4,403.6,48.2,0.1,11.0,3.8,16.4,603.2,1.4,1.41,1.49,-3.0,0.65,0.68,-1.0,42.3
151,17/18,12,AFC Bournemouth,44,27.1,5.7,8.9,1.4,425.1,48.1,0.0,12.1,4.1,13.5,622.6,1.5,1.16,1.62,-17.0,0.46,0.65,-7.0,36.9
153,17/18,14,Watford,41,25.1,4.8,11.6,2.0,411.5,49.7,0.1,11.7,3.5,17.5,608.3,1.7,1.19,1.7,-19.0,0.46,0.76,-11.0,36.9
154,17/18,15,Brighton and Hove Albion,40,28.5,4.3,11.0,2.6,389.2,43.8,0.1,10.3,3.2,15.7,573.9,1.5,0.92,1.35,-16.0,0.43,0.59,-6.0,36.0
158,17/18,19,Stoke City,33,30.3,3.7,11.5,2.2,337.2,41.0,0.0,10.2,3.4,17.8,533.9,1.6,0.89,1.81,-34.0,0.41,0.65,-9.0,27.0
159,17/18,20,West Bromwich Albion,31,26.5,4.7,11.6,2.1,347.0,40.3,0.0,10.0,3.1,15.4,539.7,1.9,0.84,1.46,-23.0,0.32,0.54,-8.0,27.9
160,18/19,1,Manchester City,98,14.5,7.9,8.6,2.6,696.9,68.1,0.0,17.9,6.8,13.6,882.1,1.2,2.46,0.59,69.0,1.27,0.27,37.0,85.6
162,18/19,3,Chelsea,72,15.6,5.7,8.9,2.2,663.2,63.7,0.0,16.0,5.2,16.4,855.3,1.3,1.7,1.05,24.0,0.73,0.46,10.0,64.0
164,18/19,5,Arsenal,70,19.9,5.5,11.1,2.4,547.9,58.4,0.1,12.2,4.4,16.2,740.9,1.9,1.89,1.35,20.0,0.76,0.76,0.0,60.4
166,18/19,7,Wolverhampton Wanderers,57,21.7,5.2,10.8,1.9,437.6,46.9,0.0,12.7,4.1,19.1,632.1,1.9,1.27,1.19,3.0,0.46,0.57,-4.0,51.4
167,18/19,8,Everton,54,21.8,5.7,11.3,1.8,434.0,51.9,0.1,13.0,4.3,18.5,644.8,1.4,1.41,1.19,8.0,0.68,0.43,9.0,47.7
169,18/19,10,West Ham United,52,22.2,5.0,8.7,1.9,429.7,48.5,0.0,11.5,4.0,19.1,631.6,1.6,1.3,1.46,-6.0,0.54,0.65,-4.0,44.1
172,18/19,13,Newcastle United,45,29.2,4.8,11.2,1.6,354.9,40.3,0.1,11.7,3.7,18.9,561.8,1.5,1.03,1.3,-10.0,0.57,0.54,1.0,37.8
173,18/19,14,AFC Bournemouth,45,27.0,5.1,9.0,1.5,416.9,46.6,0.0,11.6,4.2,13.7,612.3,1.6,1.43,1.76,-12.0,0.73,0.81,-3.0,40.5
177,18/19,18,Cardiff City,34,25.9,4.5,9.9,2.1,270.4,35.1,0.0,10.9,3.3,17.3,462.1,1.7,0.86,1.86,-37.0,0.27,0.81,-20.0,27.9
179,18/19,20,Huddersfield Town,16,17.1,4.3,11.2,1.6,419.3,47.1,0.1,10.5,3.1,18.5,612.4,1.5,0.57,2.03,-54.0,0.3,1.0,-26.0,13.5
180,19/20,1,Liverpool,99,15.6,6.8,8.8,1.4,623.8,63.0,0.0,15.6,6.1,14.5,811.0,1.0,2.22,0.86,50.0,1.16,0.41,28.0,86.5
182,19/20,3,Manchester United,66,16.7,5.4,11.1,1.5,528.1,56.0,0.0,14.5,5.8,15.1,721.1,1.8,1.73,0.97,28.0,0.95,0.46,18.0,56.8
185,19/20,6,Tottenham Hotspur,59,22.3,5.4,11.1,1.8,490.7,52.1,0.1,11.8,4.3,17.3,692.1,2.2,1.62,1.24,14.0,0.84,0.59,9.0,52.3
186,19/20,7,Wolverhampton Wanderers,59,17.5,5.1,10.6,1.3,443.1,48.5,0.1,12.3,4.0,16.9,635.3,1.5,1.38,1.03,13.0,0.38,0.65,-10.0,53.2
188,19/20,9,Sheffield United,54,22.9,5.7,10.7,2.1,396.3,43.3,0.1,9.4,3.0,16.2,587.2,1.6,1.03,0.97,2.0,0.41,0.41,0.0,48.6
194,19/20,15,Brighton and Hove Albion,41,18.2,4.6,10.1,1.9,482.5,52.5,0.1,12.1,3.8,17.2,680.9,1.5,1.0,1.43,-16.0,0.41,0.68,-10.0,34.2
196,19/20,17,Aston Villa,35,22.4,5.2,11.8,1.6,366.4,44.0,0.0,12.0,3.9,13.8,565.5,1.8,1.08,1.78,-26.0,0.51,0.68,-6.0,30.6
197,19/20,18,AFC Bournemouth,34,24.7,5.1,9.7,1.8,389.5,44.3,0.1,10.2,3.1,13.2,586.3,2.0,1.0,1.73,-27.0,0.49,0.92,-16.0,27.9
198,19/20,19,Watford,34,22.1,4.3,12.7,1.8,369.4,42.3,0.1,10.9,3.1,17.6,560.6,2.0,0.92,1.65,-27.0,0.38,0.78,-15.0,30.6
199,19/20,20,Norwich City,21,23.4,4.4,9.7,1.3,462.0,49.9,0.1,10.9,3.4,16.6,662.0,1.8,0.7,1.89,-44.0,0.38,0.89,-19.0,18.9
